WALLS: 
(0,1),(1,1)
(1,1),(1,4)
(6,6),(8,6)
(6,6),(6,8)
(6,8),(8,8)
(8,6),(8,7)
(8,7),(9,7)
(1,13),(1,11)
(1,11),(3,11)
(3,11),(3,14)
(3,13),(1,13)
(4,13),(4,9)
(4,9),(6,9)
(6,9),(6,11)
(6,11),(4,11)
(7,13),(7,9)
(7,9),(9,9)
(7,11),(8,11)
(7,13),(9,13)
(10,13),(10,9)
(10,9),(12,9)
(10,13),(12,13)
(13,9),(13,12)
(3,0),(3,1)
(3,2),(3,3)
(3,3),(6,3)
(8,3),(12,3)
(6,2),(6,0)
(3,1),(5,1)
(7,6),(7,4)
(7,4),(10,4)
(7,3),(7,1)
(7,1),(11,1)
(13,1),(13,5)
(1,2),(2,2)
(3,3),(2,3)
(10,5),(10,7)
(10,7),(11,7)
(12,7),(14,7)
(11,5),(12,5)
(12,5),(12,6)
(10,1),(10,2)
(11,3),(11,2)
(9,8),(11,8)
(11,8),(11,7)
(3,4),(3,5)
(3,5),(5,5)
(0,9),(2,9)
(2,9),(2,6)
(2,7),(5,7)
(0,5),(1,5)
(1,5),(1,6)
(4,5),(4,6)
(5,7),(5,6)
